Player,Shirt_Number,Player_Nation,Player_Position,Player_Age,Minutes_Played,Goals,Assists,Penalty_Kick_Scored,Penalty_Kick_Attempted,Shots,Shots_On_Targer,Yellow_Cards,Red_Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Completed,Passes_Attempted,Pass_Completion_Percentage,Progresive_Passes,Carries,Progresive_Carries,Dribbles_Attempted,Dribbles_Succesful,Passes_Completed,Passes_Attempted,Pass_Completion_Percentage,Total_Passing_Distance,Progressive_Passing_Distacne,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_Percentage,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_Percentage,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_Percentage,Assists,xAG,xA,KP,Final_Third,PPA,CrsPA,PrgP,Passes_Attempted,Live,Dead,FK,TB,Sw,Crosses,TI,CK,Crs_In,Crs_Out,Crs_Str,Passes_Completed,Passes_Off,Passes_Blocked,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Drib_Tkl,Drib_Chl,Tkl%,Lost,Blocks,Sh_Blocks,Pass_Blocked,Int ,Tkl_Int,Clr,Err,Touches,Def_Pen_Touches,Def_3rd_Touches,Mid_3rd_Touches,Att_3rd_Touches,Att_Pen_Touches,Live_touches,Takeons,Succ_Takeons,Succ_Takeons_%,Takeons_Tkl,Takenone_Tkl_%,Carries,TotDist,PrgDist,PrgC,Final_Third_Carries,Penalty_Carries,MisControls,Disp,Pass_Rec,Pass_Rec_Prg,Yellow_Cards,Red_Cards,2CrdY,Fls,Fld,Off,Crosses,Int,TklW,PKWin,PkCon,OG,Recov,Awon,Alost,Awon_%,Team,Opponenet,Home/Away
Joe Aribo,7,NGA,"CM,CB",28-209,84,0,0,0,0,0,0,0,0,50,6,0,0,0.0,0.0,0.0,1,1,41,44,93.2,3,29,2,2,2,41,44,93.2,580,224,24,24,100.0,13,13,100.0,2,4,50.0,0,0.0,0.0,0,1,0,0,3,44,43,1,0,0,0,0,0,0,0,0,0,41,0,1,6,6,2,3,1,3,5,60.0,2,0,0,0,0,6,1,0,50,2,17,23,11,2,50,2,2,100.0,0,0.0,29,109,59,2,2,1,1,0,35,2,0,0,0,1,2,0,0,0,6,0,0,0,7,2,0,100.0,Southampton,Bournemouth,Home
Kamaldeen Sulemana,20,GHA,"FW,AM",23-000,84,1,0,0,0,5,2,0,0,43,1,0,2,0.3,0.3,0.0,3,0,19,30,63.3,1,23,4,4,3,19,30,63.3,243,47,13,16,81.3,6,8,75.0,0,2,0.0,0,0.0,0.0,1,0,0,0,1,30,30,0,0,0,0,2,0,0,0,0,0,19,0,2,1,1,1,0,0,0,0,,0,2,0,2,0,1,1,0,43,0,4,15,25,7,43,4,3,75.0,1,25.0,23,173,93,4,3,2,3,1,32,10,0,0,0,2,3,0,2,0,1,0,0,0,3,1,0,100.0,Southampton,Bournemouth,Home
Kyle Walker-Peters,2,ENG,WB,27-308,90,0,0,0,0,0,0,0,0,55,2,1,3,0.0,0.0,0.0,2,0,29,41,70.7,3,21,2,3,3,29,41,70.7,462,154,14,18,77.8,14,15,93.3,1,5,20.0,0,0.0,0.0,1,4,0,0,3,41,34,7,0,0,0,4,6,1,0,0,0,29,0,3,2,1,1,1,0,2,3,66.7,1,3,2,1,1,3,5,0,55,7,23,16,17,2,55,3,3,100.0,0,0.0,21,129,74,2,2,1,1,2,29,6,0,0,0,0,0,0,4,1,1,0,0,0,4,1,3,25.0,Southampton,Bournemouth,Home
Lesley Ugochukwu,26,FRA,CM,20-326,45,0,0,0,0,1,0,0,0,31,0,0,1,0.0,0.0,0.2,3,0,24,28,85.7,3,14,2,1,1,24,28,85.7,324,113,13,15,86.7,10,10,100.0,0,2,0.0,0,0.2,0.2,3,1,1,0,3,28,26,2,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,31,2,5,12,14,3,31,1,1,100.0,0,0.0,14,91,60,2,0,2,0,0,23,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,50.0,Southampton,Bournemouth,Home
Mateus Fernandes,18,POR,"AM,CM",20-220,90,0,0,0,0,0,0,0,0,44,4,0,0,0.0,0.0,0.0,2,0,26,36,72.2,6,17,5,4,3,26,36,72.2,428,111,15,18,83.3,10,12,83.3,1,4,25.0,0,0.0,0.1,1,1,1,0,6,36,30,6,3,0,0,3,0,2,0,2,0,26,0,1,4,2,2,1,1,3,3,100.0,0,0,0,0,0,4,0,0,44,2,11,17,19,0,44,4,3,75.0,1,25.0,17,259,187,5,4,0,1,2,24,3,0,0,0,1,3,0,3,0,2,0,0,0,6,0,0,,Southampton,Bournemouth,Home
Nathan Wood-Gordon,15,ENG,CB,22-260,45,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,0,0,17,21,81.0,1,10,0,0,0,17,21,81.0,306,48,5,7,71.4,12,13,92.3,0,0,,0,0.0,0.0,0,1,0,0,1,21,21,0,0,0,0,0,0,0,0,0,0,17,0,1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,23,1,10,13,0,0,23,0,0,,0,,10,45,25,0,0,0,0,0,14,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,100.0,Southampton,Bournemouth,Home
Paul Onuachu,32,NGA,FW,30-263,90,0,1,0,0,2,0,0,0,42,0,0,0,0.1,0.1,0.2,1,1,17,26,65.4,2,18,1,4,0,17,26,65.4,249,28,8,14,57.1,8,11,72.7,0,0,,1,0.2,0.1,2,1,2,0,2,26,26,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,42,2,4,18,20,6,42,4,0,0.0,4,100.0,18,71,22,1,1,1,3,1,33,4,0,0,0,2,0,0,0,0,0,0,0,0,1,6,4,60.0,Southampton,Bournemouth,Home
Ryan Manning,3,IRL,CB,28-246,6,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.3,1,0,4,6,66.7,0,3,0,0,0,4,6,66.7,72,37,0,1,0.0,4,4,100.0,0,1,0.0,0,0.3,0.1,1,0,0,0,0,6,5,1,1,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,2,3,2,0,7,0,0,,0,,3,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,Southampton,Bournemouth,Home
Tyler Dibling,33,ENG,AM,18-340,35,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,5,0,9,9,100.0,2,6,2,2,2,9,9,100.0,155,18,4,4,100.0,3,3,100.0,1,1,100.0,0,0.0,0.1,0,0,1,0,2,9,8,1,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,13,0,0,6,8,1,13,2,2,100.0,0,0.0,6,62,41,2,1,1,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0.0,Southampton,Bournemouth,Home
Welington,34,BRA,WB,23-362,45,0,0,0,0,0,0,0,0,23,3,0,2,0.0,0.0,0.0,0,0,11,12,91.7,2,5,0,1,1,11,12,91.7,190,109,3,3,100.0,6,7,85.7,1,1,100.0,0,0.0,0.0,0,1,1,0,2,12,8,4,1,0,0,1,3,0,0,0,0,11,0,0,3,1,1,1,1,2,2,100.0,0,2,1,1,0,3,4,0,23,3,11,8,6,1,23,1,1,100.0,0,0.0,5,40,28,0,0,0,2,0,9,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,1,0.0,Southampton,Bournemouth,Home
William Smallbone,8,IRL,CM,24-360,55,0,0,0,0,0,0,1,0,44,3,1,0,0.0,0.0,0.0,1,0,29,37,78.4,3,18,1,0,0,29,37,78.4,489,237,15,16,93.8,10,12,83.3,3,7,42.9,0,0.0,0.1,1,2,0,0,3,37,30,7,4,0,0,3,1,1,0,1,0,29,0,0,3,2,1,1,1,1,2,50.0,1,0,0,0,1,4,1,0,44,0,8,26,11,0,44,0,0,,0,,18,81,33,1,1,0,1,0,23,0,1,0,0,2,1,0,3,1,2,0,0,0,4,0,0,,Southampton,Bournemouth,Home
Yukinari Sugawara,16,JPN,WB,24-232,45,0,0,0,0,1,1,0,0,34,1,0,0,0.0,0.0,0.0,1,0,18,26,69.2,1,13,2,0,0,18,26,69.2,255,92,8,10,80.0,8,12,66.7,0,2,0.0,0,0.0,0.1,1,2,1,1,1,26,22,4,0,0,0,4,4,0,0,0,0,18,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,3,0,34,4,9,9,16,1,34,0,0,,0,,13,41,18,2,0,1,2,0,18,2,0,0,0,0,0,0,4,0,1,0,0,0,3,1,0,100.0,Southampton,Bournemouth,Home
Alex Scott,8,ENG,"AM,DM",21-178,14,0,0,0,0,1,0,0,0,18,1,0,0,0.0,0.0,0.0,2,1,13,13,100.0,4,12,0,1,0,13,13,100.0,184,81,7,7,100.0,5,5,100.0,0,0,,0,0.0,0.1,0,3,0,0,4,13,13,0,0,1,0,0,0,0,0,0,0,13,0,0,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,18,1,6,7,5,1,18,1,0,0.0,1,100.0,12,41,1,0,0,0,0,1,13,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,,Bournemouth,Southampton,Away
Antoine Semenyo,24,GHA,LW,25-039,90,0,1,0,0,1,1,1,0,43,0,0,1,0.2,0.2,0.2,8,2,21,31,67.7,1,30,3,7,5,21,31,67.7,252,59,16,21,76.2,4,8,50.0,0,0,,1,0.2,0.1,2,2,1,0,1,31,31,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,43,3,6,17,20,4,43,7,5,71.4,2,28.6,30,182,91,3,1,2,3,2,32,9,1,0,0,2,1,0,1,0,0,0,0,0,0,3,3,50.0,Bournemouth,Southampton,Away
Dango Ouattara,11,BFA,FW,23-004,87,1,0,0,0,4,2,0,0,27,1,0,0,0.6,0.6,0.0,2,0,10,15,66.7,0,22,2,2,0,10,15,66.7,151,26,7,10,70.0,2,3,66.7,1,1,100.0,0,0.0,0.2,0,0,1,1,0,15,15,0,0,1,0,1,0,0,0,0,0,10,0,1,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,27,0,2,12,16,4,27,2,0,0.0,2,100.0,22,168,55,2,2,1,3,3,19,3,0,0,0,1,1,0,1,0,0,0,0,0,7,0,7,0.0,Bournemouth,Southampton,Away
Daniel Jebbison,21,ENG,FW,21-186,3,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,4,0,1,1,6,6,100.0,38,5,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,12,0,1,4,7,2,12,1,1,100.0,0,0.0,4,31,5,0,0,1,3,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Bournemouth,Southampton,Away
David Brooks,7,WAL,RW,27-222,66,0,0,0,0,1,0,0,0,36,2,0,2,0.0,0.0,0.0,0,0,20,26,76.9,0,21,1,5,0,20,26,76.9,274,16,11,12,91.7,9,10,90.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,26,22,4,1,0,0,2,1,2,1,0,0,20,0,1,2,2,1,0,1,0,1,0.0,1,2,0,2,0,2,0,0,36,0,7,12,18,2,36,5,0,0.0,5,100.0,21,120,42,1,2,0,0,1,22,7,0,0,0,0,2,0,2,0,2,0,0,0,4,1,0,100.0,Bournemouth,Southampton,Away
Dean Huijsen,2,ESP,CB,19-307,90,0,0,0,0,0,0,0,0,85,0,2,0,0.0,0.0,0.0,1,0,58,74,78.4,2,55,1,1,0,58,74,78.4,1243,606,20,24,83.3,26,30,86.7,11,17,64.7,0,0.0,0.0,0,8,0,0,2,74,70,4,1,0,1,1,0,0,0,0,0,58,0,2,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,85,11,48,34,3,0,85,1,0,0.0,1,100.0,55,264,124,1,1,0,2,0,58,0,0,0,0,0,2,0,1,2,0,0,0,0,4,4,3,57.1,Bournemouth,Southampton,Away
Illia Zabarnyi,27,UKR,CB,22-167,90,0,0,0,0,0,0,0,0,62,0,4,2,0.0,0.0,0.0,0,0,44,47,93.6,1,43,0,0,0,44,47,93.6,984,437,8,9,88.9,31,32,96.9,5,6,83.3,0,0.0,0.0,0,6,0,0,1,47,47,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,,0,2,1,1,4,4,6,0,62,13,36,26,0,0,62,0,0,,0,,43,250,156,0,0,0,1,0,41,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,3,0.0,Bournemouth,Southampton,Away
Justin Kluivert,19,NED,AM,25-286,76,0,1,0,0,1,0,0,0,40,1,0,0,0.0,0.0,0.3,4,1,25,34,73.5,5,25,2,3,2,25,34,73.5,373,152,14,16,87.5,8,11,72.7,2,5,40.0,1,0.3,0.1,4,3,0,0,5,34,29,5,0,0,1,6,0,3,3,0,0,25,0,0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,40,1,4,18,20,1,40,3,2,66.7,1,33.3,25,156,99,2,1,1,0,1,25,4,0,0,0,2,2,0,6,0,0,0,0,0,5,0,1,0.0,Bournemouth,Southampton,Away
Lewis Cook,4,ENG,RB,28-012,90,0,0,0,0,1,1,1,0,62,0,1,1,0.0,0.0,0.1,2,0,46,53,86.8,5,37,1,1,1,46,53,86.8,762,320,25,27,92.6,18,20,90.0,3,5,60.0,0,0.1,0.1,2,6,3,1,5,53,43,10,1,0,0,1,9,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,2,0,62,2,18,25,20,0,62,1,1,100.0,0,0.0,37,169,113,1,2,0,0,0,40,1,1,0,0,2,0,0,1,1,0,0,0,0,1,0,0,,Bournemouth,Southampton,Away
Luis Sinisterra,17,COL,"RW,DM",25-243,3,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,5,100.0,1,4,0,0,0,5,5,100.0,67,32,4,4,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,7,1,2,3,2,0,7,0,0,,0,,4,9,2,0,0,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Bournemouth,Southampton,Away
Marcus Tavernier,16,ENG,"RW,AM",25-330,24,1,0,0,0,1,1,1,0,14,0,0,0,0.1,0.1,0.0,0,0,7,11,63.6,0,8,1,1,0,7,11,63.6,102,13,6,7,85.7,0,1,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,11,9,2,0,0,0,2,1,1,1,0,0,7,0,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,14,0,0,6,8,3,14,1,0,0.0,1,100.0,8,67,11,1,1,1,0,3,11,2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,100.0,Bournemouth,Southampton,Away
Milos Kerkez,3,HUN,LB,21-100,90,0,0,0,0,1,0,0,0,78,0,0,2,0.0,0.0,0.0,1,0,48,67,71.6,4,41,2,2,1,48,67,71.6,690,148,25,27,92.6,21,27,77.8,0,7,0.0,0,0.0,0.0,1,4,0,0,4,67,50,17,1,0,0,0,16,0,0,0,0,48,0,2,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,5,0,78,3,28,28,22,3,78,2,1,50.0,1,50.0,41,176,107,2,1,2,1,0,43,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0,Bournemouth,Southampton,Away
Ryan Christie,10,SCO,DM,29-359,87,1,1,0,0,3,2,0,0,68,2,1,2,0.1,0.1,0.5,2,1,48,58,82.8,9,37,0,0,0,48,58,82.8,785,332,27,29,93.1,17,20,85.0,4,9,44.4,1,0.5,0.3,2,5,3,1,9,58,56,2,2,0,0,4,0,0,0,0,0,48,0,0,2,1,1,1,0,1,2,50.0,1,2,0,2,1,3,3,0,68,4,14,39,16,3,68,0,0,,0,,37,135,71,0,1,0,0,1,45,0,0,0,0,2,1,0,4,1,1,0,0,0,7,4,2,66.7,Bournemouth,Southampton,Away
Tyler Adams,12,USA,DM,26-001,90,0,0,0,0,0,0,0,0,68,7,1,4,0.0,0.0,0.0,2,0,49,54,90.7,1,31,0,0,0,49,54,90.7,782,120,25,28,89.3,21,22,95.5,3,4,75.0,0,0.0,0.0,2,3,0,0,1,54,50,4,4,0,0,0,0,0,0,0,0,49,0,0,7,3,3,2,2,4,9,44.4,5,4,2,2,1,8,0,0,68,3,17,39,12,1,68,0,0,,0,,31,145,50,0,2,0,2,0,41,1,0,0,0,2,1,0,0,1,3,0,0,0,3,0,1,0.0,Bournemouth,Southampton,Away
Andrés García,16,ESP,RB,22-008,90,0,0,0,0,2,0,0,0,87,3,0,1,0.0,0.0,0.0,0,0,64,73,87.7,7,62,10,6,2,64,73,87.7,1005,143,32,34,94.1,29,31,93.5,3,6,50.0,0,0.0,0.1,0,4,3,1,7,73,68,5,0,0,0,8,5,0,0,0,0,64,0,2,3,3,2,1,0,1,1,100.0,0,1,0,1,0,3,1,0,87,1,10,35,43,1,87,6,2,33.3,3,50.0,62,438,258,10,4,1,1,2,58,10,0,0,0,0,0,0,8,0,3,0,0,0,8,0,2,0.0,Aston Villa,Ipswich Town,Home
Axel Disasi,3,FRA,CB,26-341,90,0,0,0,0,0,0,0,0,90,0,2,0,0.0,0.0,0.3,2,0,77,84,91.7,6,70,2,2,1,77,84,91.7,1384,485,29,30,96.7,47,49,95.9,1,2,50.0,0,0.3,0.2,1,9,1,0,6,84,82,1,1,1,0,0,0,0,0,0,0,77,1,0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,3,0,90,5,25,62,3,1,90,2,1,50.0,1,50.0,70,387,204,2,1,0,0,0,72,2,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,66.7,Aston Villa,Ipswich Town,Home
Boubacar Kamara,44,FRA,CB,25-084,15,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,26,0,1,1,24,28,85.7,376,177,11,11,100.0,13,13,100.0,0,3,0.0,0,0.0,0.0,0,1,0,0,0,28,27,1,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,28,9,17,11,0,0,28,1,1,100.0,0,0.0,26,103,29,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Aston Villa,Ipswich Town,Home
Donyell Malen,17,NED,RW,26-037,62,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.0,2,0,11,15,73.3,1,14,2,2,1,11,15,73.3,148,35,7,9,77.8,2,3,66.7,1,1,100.0,0,0.0,0.0,1,1,0,0,1,15,14,1,0,0,0,1,1,0,0,0,0,11,0,1,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,23,0,1,5,18,5,23,2,1,50.0,1,50.0,14,113,70,2,1,1,1,0,12,6,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,,Aston Villa,Ipswich Town,Home
Ian Maatsen,22,NED,LB,22-342,45,0,0,0,0,2,1,0,0,55,0,1,1,0.1,0.1,0.0,4,0,42,47,89.4,9,37,1,2,1,42,47,89.4,611,134,26,27,96.3,12,14,85.7,1,1,100.0,0,0.0,0.1,2,5,4,1,9,47,44,3,0,0,0,3,3,0,0,0,0,42,0,2,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,55,0,9,15,31,2,55,2,1,50.0,1,50.0,37,128,67,1,2,0,2,1,37,6,0,0,0,0,1,0,3,1,0,0,0,0,6,0,1,0.0,Aston Villa,Ipswich Town,Home
Jacob Ramsey,41,ENG,LW,23-263,45,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,1,0,26,29,89.7,2,26,2,2,1,26,29,89.7,286,61,22,22,100.0,2,5,40.0,0,0,,0,0.0,0.1,0,1,1,0,2,29,29,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,33,0,4,14,15,1,33,2,1,50.0,0,0.0,26,128,71,2,1,0,0,0,29,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,Aston Villa,Ipswich Town,Home
John McGinn,7,SCO,DM,30-120,90,0,0,0,0,1,0,0,0,87,2,2,0,0.1,0.1,0.0,2,0,73,80,91.3,9,58,2,1,1,73,80,91.3,1213,241,32,34,94.1,34,36,94.4,3,6,50.0,0,0.0,0.1,1,11,1,0,9,80,79,1,1,0,1,0,0,0,0,0,0,73,0,0,2,1,1,1,0,2,5,40.0,3,0,0,0,2,4,1,0,87,1,9,55,24,2,87,1,1,100.0,0,0.0,58,198,107,2,3,0,1,0,67,2,0,0,0,4,1,0,0,2,1,0,0,0,11,1,0,100.0,Aston Villa,Ipswich Town,Home
Lucas Digne,12,FRA,LB,31-210,45,0,0,0,0,1,0,0,0,41,0,0,0,0.0,0.0,0.0,2,0,33,39,84.6,0,33,0,0,0,33,39,84.6,453,82,19,21,90.5,11,14,78.6,0,1,0.0,0,0.0,0.0,0,2,0,0,0,39,35,4,1,0,0,4,2,1,0,0,0,33,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,41,1,6,14,21,0,41,0,0,,0,,33,93,16,0,1,0,0,2,32,3,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,,Aston Villa,Ipswich Town,Home
Marco Asensio,21,ESP,RW,29-025,28,0,0,0,0,4,1,0,0,26,0,0,0,0.4,0.4,0.0,4,0,19,22,86.4,3,18,2,1,1,19,22,86.4,256,73,9,10,90.0,8,8,100.0,0,2,0.0,0,0.0,0.1,1,0,3,1,3,22,17,5,0,0,0,3,0,5,1,0,0,19,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,0,0,1,25,4,26,1,1,100.0,0,0.0,18,76,36,2,3,1,0,0,19,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,,Aston Villa,Ipswich Town,Home
Marcus Rashford,9,ENG,LW,27-107,45,0,0,0,0,4,1,0,0,57,3,0,0,0.1,0.1,0.6,10,1,32,45,71.1,6,37,5,6,3,32,45,71.1,469,109,19,21,90.5,8,11,72.7,3,7,42.9,0,0.6,0.8,4,0,5,1,6,45,36,8,0,1,0,8,1,7,5,0,0,32,1,3,3,1,0,0,3,1,1,100.0,0,0,0,0,0,3,0,0,57,0,1,10,46,7,57,6,3,50.0,3,50.0,37,188,115,5,1,3,0,0,42,14,0,0,0,0,1,0,8,0,1,0,0,0,2,0,0,,Aston Villa,Ipswich Town,Home
Morgan Rogers,27,ENG,AM,22-204,90,0,0,0,0,5,2,0,0,48,0,0,0,0.8,0.8,0.2,7,0,25,33,75.8,3,39,4,5,1,25,33,75.8,290,63,17,23,73.9,5,5,100.0,1,2,50.0,0,0.2,0.1,4,3,1,0,3,33,31,2,0,0,0,1,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,48,1,1,15,32,9,48,5,1,20.0,3,60.0,39,215,125,4,4,0,0,1,40,10,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0.0,Aston Villa,Ipswich Town,Home
Ollie Watkins,11,ENG,FW,29-047,90,1,0,0,0,4,1,0,0,20,1,0,0,0.8,0.8,0.0,3,0,11,14,78.6,2,12,1,1,1,11,14,78.6,126,24,7,8,87.5,2,3,66.7,0,0,,0,0.0,0.0,0,0,2,0,2,14,14,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,20,0,1,5,14,8,20,1,1,100.0,0,0.0,12,40,10,1,0,0,0,1,15,6,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,33.3,Aston Villa,Ipswich Town,Home
Tyrone Mings,5,ENG,CB,31-339,75,0,0,0,0,0,0,0,0,77,0,0,1,0.0,0.0,0.0,1,0,67,73,91.8,6,54,0,0,0,67,73,91.8,1109,365,30,32,93.8,33,35,94.3,2,2,100.0,0,0.0,0.0,0,4,1,0,6,73,70,3,3,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,77,2,26,45,6,2,77,0,0,,0,,54,243,155,0,3,0,1,1,55,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,100.0,Aston Villa,Ipswich Town,Home
Youri Tielemans,8,BEL,DM,27-284,90,0,0,0,0,1,0,0,0,108,1,0,1,0.1,0.1,0.3,7,0,90,102,88.2,10,80,0,3,3,90,102,88.2,1485,415,42,44,95.5,38,44,86.4,6,9,66.7,0,0.3,0.2,3,16,0,0,10,102,93,9,6,0,0,4,0,3,2,0,0,90,0,1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,108,1,14,56,38,1,108,3,3,100.0,0,0.0,80,311,109,0,4,0,1,1,91,2,0,0,0,1,2,0,4,0,1,0,0,0,5,2,0,100.0,Aston Villa,Ipswich Town,Home
Axel Tuanzebe,40,COD,RB,27-093,39,0,0,0,0,0,0,2,1,15,0,2,0,0.0,0.0,0.0,0,0,13,13,100.0,1,10,0,0,0,13,13,100.0,190,64,6,6,100.0,6,6,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,13,12,1,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,15,0,6,7,2,0,15,0,0,,0,,10,31,15,0,0,0,0,0,11,0,2,1,1,2,1,0,0,2,0,0,0,0,1,0,0,,Ipswich Town,Aston Villa,Away
Ben Johnson,18,ENG,"RB,RW",25-022,90,0,0,0,0,0,0,0,0,32,4,0,0,0.0,0.0,0.0,1,1,12,17,70.6,0,10,0,1,0,12,17,70.6,182,67,7,7,100.0,3,5,60.0,1,3,33.3,0,0.0,0.0,0,1,0,0,0,17,14,3,0,0,1,0,3,0,0,0,0,12,0,0,4,3,2,0,2,2,5,40.0,3,0,0,0,0,4,4,0,32,5,14,11,7,0,32,1,0,0.0,1,100.0,10,40,5,0,0,0,2,2,10,1,0,0,0,1,0,0,0,0,3,0,0,0,4,0,1,0.0,Ipswich Town,Aston Villa,Away
Conor Townsend,22,ENG,LB,31-348,90,0,0,0,0,0,0,0,0,46,4,2,4,0.0,0.0,0.2,1,0,19,28,67.9,1,16,1,0,0,19,28,67.9,299,152,8,8,100.0,11,16,68.8,0,1,0.0,0,0.2,0.1,1,1,1,1,1,28,21,6,0,1,0,3,6,0,0,0,0,19,1,0,4,2,3,1,0,4,4,100.0,0,4,3,1,2,6,6,0,46,11,24,15,8,0,46,0,0,,0,,16,49,25,1,1,0,0,2,22,2,0,0,0,0,0,0,3,2,2,0,0,0,1,2,0,100.0,Ipswich Town,Aston Villa,Away
Dara O'Shea,26,IRL,CB,25-348,90,0,0,0,0,0,0,0,0,39,3,1,2,0.0,0.0,0.0,1,0,13,21,61.9,0,13,0,0,0,13,21,61.9,321,138,2,4,50.0,9,13,69.2,2,3,66.7,0,0.0,0.0,0,1,0,0,0,21,17,3,0,0,1,0,3,0,0,0,0,13,1,0,3,0,2,1,0,1,4,25.0,3,2,2,0,1,4,11,0,39,14,28,10,1,0,39,0,0,,0,,13,80,44,0,0,0,0,0,16,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,2,50.0,Ipswich Town,Aston Villa,Away
