Player,Shirt_Number,Player_Nation,Player_Position,Player_Age,Minutes_Played,Goals,Assists,Penalty_Kick_Scored,Penalty_Kick_Attempted,Shots,Shots_On_Targer,Yellow_Cards,Red_Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Completed,Passes_Attempted,Pass_Completion_Percentage,Progresive_Passes,Carries,Progresive_Carries,Dribbles_Attempted,Dribbles_Succesful,Passes_Completed,Passes_Attempted,Pass_Completion_Percentage,Total_Passing_Distance,Progressive_Passing_Distacne,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_Percentage,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_Percentage,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_Percentage,Assists,xAG,xA,KP,Final_Third,PPA,CrsPA,PrgP,Passes_Attempted,Live,Dead,FK,TB,Sw,Crosses,TI,CK,Crs_In,Crs_Out,Crs_Str,Passes_Completed,Passes_Off,Passes_Blocked,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Drib_Tkl,Drib_Chl,Tkl%,Lost,Blocks,Sh_Blocks,Pass_Blocked,Int ,Tkl_Int,Clr,Err,Touches,Def_Pen_Touches,Def_3rd_Touches,Mid_3rd_Touches,Att_3rd_Touches,Att_Pen_Touches,Live_touches,Takeons,Succ_Takeons,Succ_Takeons_%,Takeons_Tkl,Takenone_Tkl_%,Carries,TotDist,PrgDist,PrgC,Final_Third_Carries,Penalty_Carries,MisControls,Disp,Pass_Rec,Pass_Rec_Prg,Yellow_Cards,Red_Cards,2CrdY,Fls,Fld,Off,Crosses,Int,TklW,PKWin,PkCon,OG,Recov,Awon,Alost,Awon_%,Team,Opponenet,Home/Away
Emile Smith Rowe,32,ENG,AM,24-019,63,0,0,0,0,0,0,0,0,35,1,2,1,0.0,0.0,0.0,0,0,20,27,74.1,1,23,0,0,0,20,27,74.1,268,37,12,17,70.6,8,9,88.9,0,0,,0,0.0,0.0,0,3,0,0,1,27,27,0,0,0,0,1,0,0,0,0,0,20,0,1,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,0,0,35,2,11,18,7,0,35,0,0,,0,,23,122,54,0,1,0,1,0,25,2,0,0,0,0,1,0,1,2,1,0,0,0,3,1,0,100.0,Fulham,Manchester Utd,Away
Harrison Reed,6,ENG,DM,29-202,1,0,0,0,0,0,0,0,0,3,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,100.0,32,28,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,,0,,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Fulham,Manchester Utd,Away
Harry Wilson,8,WAL,RW,27-147,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,1,0,0,5,6,83.3,62,13,4,4,100.0,1,2,50.0,0,0,,0,0.0,0.0,0,1,0,0,0,6,5,1,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,7,0,0,4,3,2,7,0,0,,0,,6,16,9,1,0,1,2,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,100.0,Fulham,Manchester Utd,Away
Issa Diop,31,FRA,CB,27-220,90,0,0,0,0,0,0,0,0,45,4,0,1,0.0,0.0,0.0,0,0,28,35,80.0,2,26,0,0,0,28,35,80.0,661,323,4,5,80.0,19,22,86.4,5,7,71.4,0,0.0,0.0,0,2,0,0,2,35,31,4,4,0,0,0,0,0,0,0,0,28,0,1,4,3,2,2,0,3,3,100.0,0,1,1,0,0,4,5,0,45,8,28,17,0,0,45,0,0,,0,,26,123,61,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,Fulham,Manchester Utd,Away
Jay Stansfield,28,ENG,"AM,DM",21-266,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Fulham,Manchester Utd,Away
Kenny Tete,2,NED,RB,28-312,90,0,0,0,0,2,1,0,0,44,1,3,2,0.1,0.1,0.0,2,0,24,32,75.0,2,22,2,0,0,24,32,75.0,396,155,13,14,92.9,8,12,66.7,3,5,60.0,0,0.0,0.0,0,0,0,0,2,32,26,6,0,0,0,2,6,0,0,0,0,24,0,1,1,0,1,0,0,1,3,33.3,2,2,0,2,3,4,1,0,44,4,19,16,9,1,44,0,0,,0,,22,123,60,2,3,0,0,1,20,2,0,0,0,0,1,0,2,3,0,0,0,0,6,0,2,0.0,Fulham,Manchester Utd,Away
Raúl Jiménez,7,MEX,FW,33-103,13,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,1,0,0,2,4,50.0,60,1,0,1,0.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,5,0,0,2,3,0,5,0,0,,0,,2,11,10,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.3,Fulham,Manchester Utd,Away
Rodrigo Muniz,9,BRA,FW,23-104,77,0,0,0,0,2,1,0,0,17,0,1,0,0.1,0.1,0.1,2,0,5,6,83.3,1,11,0,1,1,5,6,83.3,79,13,2,3,66.7,2,2,100.0,1,1,100.0,0,0.1,0.0,2,0,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,17,1,2,9,6,4,17,1,1,100.0,0,0.0,11,46,10,0,0,0,3,3,14,3,0,0,0,0,1,0,0,1,0,0,0,0,2,4,6,40.0,Fulham,Manchester Utd,Away
Saša Lukić,20,SRB,DM,28-003,89,0,0,0,0,0,0,0,0,53,3,1,1,0.0,0.0,0.0,0,0,40,45,88.9,4,30,1,0,0,40,45,88.9,590,158,19,22,86.4,20,21,95.2,1,1,100.0,0,0.0,0.0,0,2,0,0,4,45,43,2,2,0,0,0,0,0,0,0,0,40,0,1,3,2,2,1,0,0,2,0.0,2,1,0,1,1,4,1,0,53,4,20,30,4,0,53,0,0,,0,,30,138,66,1,0,0,0,0,27,0,0,0,0,0,1,0,0,1,2,0,0,0,8,0,0,,Fulham,Manchester Utd,Away
Tom Cairney,10,SCO,"DM,AM",33-209,27,0,0,0,0,0,0,1,0,18,0,0,0,0.0,0.0,0.0,1,0,15,17,88.2,4,14,2,3,2,15,17,88.2,247,69,4,5,80.0,10,10,100.0,0,0,,0,0.0,0.1,1,1,1,0,4,17,17,0,0,0,0,1,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,18,0,3,8,7,2,18,3,2,66.7,1,33.3,14,114,51,2,1,1,0,0,16,1,1,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0.0,Fulham,Manchester Utd,Away
Ali Al Hamadi,16,IRQ,FW,22-169,17,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,1,1,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,3,1,2,0,1,1,3,0,0,,0,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,66.7,Ipswich Town,Liverpool,Home
